사업장,배출원 Scope,세부 배출원
디타워본점,Scope 1,"본점 LNG 사용량, 국내지점전체 차량 휘발유 사용량, 국내지점전체 차량 경유 사용량"
디타워본점,Scope 2,"본점 전기 사용량, 국내지점전체 차량 전기 사용량, 건설정보지점 전기 사용량"
디타워본점,Scope 3,C1 상품 및 서비스 구입
디타워본점,Scope 3,C3 연료 및 에너지 관련 활동
디타워본점,Scope 3,C5 생산 관련 폐기물
디타워본점,Scope 3,C6 업무용 출장
디타워본점,Scope 3,"C7 임직원 출퇴근, 재택근무"
디타워본점,Scope 3,C15 투자자산
울산지점,Scope 3,C4 업스트림 운송 및 유통
건설정보지점,Scope 2,건설정보지점(상암) 전기 사용량
글래드마포,Scope 1,글래드마포 LNG 사용량
글래드마포,Scope 2,글래드마포 전기 사용량
논산지점,Scope 1,논산지점 LPG 사용량
논산지점,Scope 2,논산지점 전기 사용량
논산지점,Scope 3,C5 생산 관련 폐기물
여수지점,Scope 2,여수지점 전기 사용량
여수지점,Scope 3,C4 업스트림 운송 및 유통
보은지점,Scope 2,보은지점 전기 사용량
현장사무소(김해대동물류센터),Scope 1,"건설현장사무소 등유 사용량, 건설현장사무소 LPG 사용량"
현장사무소(김해대동물류센터),Scope 2,건설현장사무소 전체 전기 사용량
현장사무소(루시아),Scope 2,건설현장사무소 전체 전기 사용량
