구분,세부구분,세부배출원명,배출량,배출량 비율
Scope 1,고정연소,고정연소의 배출량,1407.962,1.212%
Scope 1,이동연소,이동연소의 배출량,99.865,0.086%
Scope 1,공정배출,공정배출량,0.000,0.000%
Scope 1,폐기물,폐기물의 직접 처리시 배출량,0.000,0.000%
Scope 1,이산화탄소 포집 및 이동,이산화탄소 포집 및 사업장 밖 이동,0.000,0.000%
Scope 1,탈루배출,탈루배출,0.000,0.000%
Scope 1,합계,,1507.827,1.298%
Scope 2,전기 사용,사용한 외부전기로 인한 배출량,3391.930,2.921%
Scope 2,증기 사용,사용한 외부열(스팀)로 인한 배출량,0.000,0.000%
Scope 2,합계,,3391.930,2.921%
Scope 3,C1 상품 및 서비스 구입,"구매한 상품, 원재료, 서비스 등의 내재 배출량",87999.493,75.776%
Scope 3,C2 자본재 구입,구매한 자본재의 내재 배출량,0.000,0.000%
Scope 3,C3 연료 및 에너지 관련 활동,"Scope 1,2에 보고한 에너지의 내재 배출량",729.579,0.628%
Scope 3,C4 업스트림 운송 및 유통,업스트림 운송 및 유통으로 인한 배출량,21775.723,18.751%
Scope 3,C5 생산 관련 폐기물,사업장 폐기물의 외주처리로 인한 배출량,78.571,0.068%
Scope 3,C6 업무용 출장,임직원의 출장으로 인한 배출량,252.571,0.217%
Scope 3,"C7 임직원 출퇴근, 재택근무",임직원의 통근 및 재택근무로 인한 배출량,395.484,0.341%
Scope 3,C8 업스트림 리스 및 렌탈,업스트림 리스 및 렌탈 배출량,0.000,0.000%
Scope 3,C9 다운스트림 운송 및 유통,다운스트림 운송 및 유통으로 인한 배출량,0.000,0.000%
Scope 3,C10 판매된 반제품의 가공,판매된 반제품의 가공시 배출량,0.000,0.000%
Scope 3,C11 판매된 완제품의 사용,판매된 완제품의 사용시 배출량,0.000,0.000%
Scope 3,C12 판매된 완제품의 폐기,판매된 완제품의 폐기로 인한 배출량,0.000,0.000%
Scope 3,C13 다운스트림 리스 및 렌탈,다운스트림 리스 및 렌탈 배출량,0.000,0.000%
Scope 3,C14 프랜차이즈,프랜차이즈의 배출량,0.000,0.000%
Scope 3,C15 투자자산,"투자자산의 Scope 1,2 중 지분비율",0.000,0.000%
Scope 3,합계,,111231.421,95.781%
총계,,,116131.178,100.000%
